,date,business_increased,business_decreased,business_change,business_number
419,1980-01,277.0,0.0,277.0,11612.0
420,1980-02,78.0,0.0,78.0,11690.0
421,1980-03,81.0,0.0,81.0,11771.0
422,1980-04,61.0,0.0,61.0,11832.0
423,1980-05,59.0,0.0,59.0,11891.0
424,1980-06,73.0,0.0,73.0,11964.0
425,1980-07,66.0,0.0,66.0,12030.0
426,1980-08,55.0,0.0,55.0,12085.0
427,1980-09,67.0,0.0,67.0,12152.0
428,1980-10,94.0,0.0,94.0,12246.0
429,1980-11,76.0,0.0,76.0,12322.0
430,1980-12,51.0,0.0,51.0,12373.0
431,1981-01,190.0,0.0,190.0,12563.0
432,1981-02,74.0,0.0,74.0,12637.0
433,1981-03,78.0,0.0,78.0,12715.0
434,1981-04,100.0,0.0,100.0,12815.0
435,1981-05,68.0,0.0,68.0,12883.0
436,1981-06,97.0,0.0,97.0,12980.0
437,1981-07,96.0,0.0,96.0,13076.0
438,1981-08,53.0,0.0,53.0,13129.0
439,1981-09,66.0,0.0,66.0,13195.0
440,1981-10,83.0,0.0,83.0,13278.0
441,1981-11,62.0,0.0,62.0,13340.0
442,1981-12,36.0,0.0,36.0,13376.0
443,1982-01,236.0,0.0,236.0,13612.0
444,1982-02,72.0,0.0,72.0,13684.0
445,1982-03,69.0,0.0,69.0,13753.0
446,1982-04,74.0,0.0,74.0,13827.0
447,1982-05,58.0,0.0,58.0,13885.0
448,1982-06,58.0,0.0,58.0,13943.0
449,1982-07,81.0,0.0,81.0,14024.0
450,1982-08,50.0,0.0,50.0,14074.0
451,1982-09,67.0,0.0,67.0,14141.0
452,1982-10,71.0,0.0,71.0,14212.0
453,1982-11,73.0,0.0,73.0,14285.0
454,1982-12,59.0,0.0,59.0,14344.0
455,1983-01,255.0,0.0,255.0,14599.0
456,1983-02,85.0,0.0,85.0,14684.0
457,1983-03,97.0,0.0,97.0,14781.0
458,1983-04,88.0,0.0,88.0,14869.0
459,1983-05,89.0,0.0,89.0,14958.0
460,1983-06,92.0,0.0,92.0,15050.0
461,1983-07,100.0,0.0,100.0,15150.0
462,1983-08,79.0,0.0,79.0,15229.0
463,1983-09,76.0,0.0,76.0,15305.0
464,1983-10,91.0,0.0,91.0,15396.0
465,1983-11,75.0,0.0,75.0,15471.0
466,1983-12,69.0,0.0,69.0,15540.0
467,1984-01,639.0,0.0,639.0,16179.0
468,1984-02,198.0,0.0,198.0,16377.0
469,1984-03,180.0,0.0,180.0,16557.0
470,1984-04,181.0,0.0,181.0,16738.0
471,1984-05,192.0,0.0,192.0,16930.0
472,1984-06,197.0,0.0,197.0,17127.0
473,1984-07,551.0,0.0,551.0,17678.0
474,1984-08,179.0,0.0,179.0,17857.0
475,1984-09,169.0,0.0,169.0,18026.0
476,1984-10,197.0,1.0,196.0,18222.0
477,1984-11,166.0,0.0,166.0,18388.0
