LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,5d_zip,5d_zip_num,latitude,longitude
0002567045-0001-1,WRIGHT LARCO INC,,9051 SUNLAND BLVD,SUN VALLEY,91352-2050,9051 SUNLAND 91352-2050,,,,323100,Printing & related support activities,7,2009-01-02,2016-12-31,"(34.2338, -118.367)",91352,91352.0,34.2338,-118.367
0002891283-0001-5,DANIEL CROTTY,,1109 BLAKE AVENUE,LOS ANGELES,90031-1207,1109 BLAKE 90031-1207,2018 CYRIL AVENUE,LOS ANGELES,90032-3806,512100,Motion picture & video industries (except video rental),13,2015-01-01,,"(34.0866, -118.2305)",90031,90031.0,34.0866,-118.2305
0002635382-0001-9,JENNIFER M FORBES,,1532 N HAYWORTH AVENUE SUITE #9,LOS ANGELES,90046-3345,1532 HAYWORTH 90046-3345,,,,624310,Vocational rehabilitation services,13,2010-03-15,,"(34.0986, -118.3628)",90046,90046.0,34.0986,-118.3628
0002374761-0002-0,ANTONETTE ARAYA,,20252 RUNNYMEDE STREET,WINNETKA,91306-2934,20252 RUNNYMEDE 91306-2934,,,,611000,"Educational services (including schools, colleges, & universities)",3,2014-01-01,,"(34.2058, -118.5743)",91306,91306.0,34.2058,-118.5743
0003211277-0001-1,CONSULTING DESIGN,,18444 COLLINS STREET   #4,TARZANA,91356-2303,18444 COLLINS 91356,POST OFFICE BOX #6575,WOODLAND HILLS,91365-6575,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",3,2019-09-12,,"(34.1745, -118.535)",91356,91356.0,34.1745,-118.535
0002168868-0001-3,CAPSTONE COATINGS & WINDOWS,,19205 PARTHENIA STREET SUITE #G,NORTHRIDGE,91324-5145,19205 PARTHENIA 91324-5145,,,,238290,Other building equipment contractors,12,2006-07-01,2017-12-31,"(34.2282, -118.5514)",91324,91324.0,34.2282,-118.5514
0002982902-0001-5,KA COACHING & CONSULTING SERVICES,,3221 OVERLAND AVENUE   APT #3220,LOS ANGELES,90034-4503,3221 OVERLAND 90034-4503,3221 OVERLAND AVENUE   APT #3220,LOS ANGELES,90034-4503,611000,"Educational services (including schools, colleges, & universities)",5,2017-04-01,,"(34.0287, -118.4148)",90034,90034.0,34.0287,-118.4148
0002822397-0001-8,ASHA SOLAI / MELANIE BENNETT,LOTUS HALO,4109 W 59TH STREET,LOS ANGELES,90043-3413,4109 59TH 90043-3413,,,,452000,General merchandise stores,8,2014-09-01,,"(33.9871, -118.3467)",90043,90043.0,33.9871,-118.3467
0003214309-0001-4,EVERBEAUTI,,3042 W 12TH STREET,LOS ANGELES,90006-3102,3042 12th 90006-3102,,,,446120,"Cosmetics, beauty supplies, & perfume stores",10,2020-10-01,,"(34.0488, -118.3076)",90006,90006.0,34.0488,-118.3076
0002665787-0001-3,A & R GRANITE AND MARBLE,,7053 CANBY AVENUE   UNIT #B,RESEDA,91335-4302,7053 CANBY 91335-4302,7053 CANBY AVENUE UNIT #B,RESEDA,91335-4302,238340,Tile & terrazzo contractors,4,2011-03-15,,"(34.1991, -118.5351)",91335,91335.0,34.1991,-118.5351
