City,Count
LOS ANGELES,286659
VAN NUYS,21295
NORTH HOLLYWOOD,17242
SHERMAN OAKS,15165
WOODLAND HILLS,13194
ENCINO,10776
NORTHRIDGE,9648
CANOGA PARK,7342
STUDIO CITY,7281
RESEDA,6962
TARZANA,6730
CHATSWORTH,5996
SAN PEDRO,5891
SUN VALLEY,5730
VENICE,5509
SYLMAR,5499
PANORAMA CITY,5479
GRANADA HILLS,5321
PACOIMA,4467
NORTH HILLS,4070
VALLEY VILLAGE,3902
WEST HILLS,3879
N HOLLYWOOD,3545
WINNETKA,3454
WILMINGTON,3393
PACIFIC PALISADES,2912
MARINA DEL REY,2900
ARLETA,2518
TUJUNGA,2454
SUNLAND,1769
MISSION HILLS,1748
PORTER RANCH,1712
HARBOR CITY,1475
PLAYA DEL REY,1367
TOLUCA LAKE,1249
SIMI VALLEY,1184
ANAHEIM,956
VALENCIA,910
CANYON COUNTRY,817
HOLLYWOOD,755
RIVERSIDE,740
LAKE BALBOA,716
IRVINE,713
NEW YORK,632
PLAYA VISTA,563
SAN DIEGO,555
LA CRESCENTA,549
SANTA ANA,548
THOUSAND OAKS,531
CORONA,518
ALTADENA,483
ORANGE,476
ONTARIO,460
HUNTINGTON BEACH,447
RANCHO CUCAMONGA,406
NEWHALL,399
FULLERTON,389
VALLEY GLEN,388
FONTANA,355
SACRAMENTO,344
OXNARD,318
BAKERSFIELD,313
CHINO,312
LAKE VIEW TERRACE,305
TOPANGA,305
VENTURA,299
SAN FRANCISCO,298
GARDEN GROVE,297
COSTA MESA,296
CAMARILLO,256
BUENA PARK,251
UPLAND,251
LAS VEGAS,248
NEWPORT BEACH,248
SAN BERNARDINO,241
NEWBURY PARK,240
HACIENDA HEIGHTS,218
BREA,218
CASTAIC,210
MOORPARK,209
SHERWOOD FOREST,201
MORENO VALLEY,197
TUSTIN,196
TEMECULA,192
CITY OF INDUSTRY,188
ROWLAND HEIGHTS,178
STEVENSON RANCH,178
MURRIETA,173
WESTCHESTER,172
MONTROSE,172
LA HABRA,171
LA CANADA,168
VIEW PARK,163
SHADOW HILLS,158
CHICAGO,147
YORBA LINDA,145
ACTON,143
CYPRESS,143
CHINO HILLS,139
PERRIS,136
HOUSTON,133
SANTA BARBARA,133
VICTORVILLE,130
FOUNTAIN VALLEY,122
LAKE FOREST,121
OCEANSIDE,121
WESTMINSTER,118
CARLSBAD,116
PLACENTIA,115
LAKE ELSINORE,114
OAK PARK,114
LOS ALAMITOS,113
PHOENIX,110
LITTLEROCK,109
CENTURY CITY,107
HESPERIA,107
RIALTO,107
SAN JOSE,107
NORCO,104
OAKLAND,104
FRESNO,102
ESCONDIDO,100
SAUGUS,98
EAGLE ROCK,97
MISSION VIEJO,95
WASHINGTON,95
SAN CLEMENTE,90
LAGUNA HILLS,90
ATLANTA,90
MONTCLAIR,88
SEATTLE,88
PORTLAND,85
DALLAS,83
NEW HYDE PARK,80
UNIVERSAL CITY,78
REDLANDS,77
AUSTIN,76
BROOKLYN,76
PALM SPRINGS,76
VISTA,75
LA CANADA FLINTRIDGE,75
PALM DESERT,74
LAGUNA NIGUEL,72
HIGHLAND PARK,72
EL CAJON,72
LAGUNA BEACH,71
COLTON,70
ALISO VIEJO,65
APPLE VALLEY,63
AGUA DULCE,62
JURUPA VALLEY,62
NASHVILLE,60
SAN MARCOS,59
STANTON,59
BELL CANYON,59
SCOTTSDALE,58
BOSTON,57
SEAL BEACH,57
HEMET,56
CHULA VISTA,56
BLOOMINGTON,56
YUCAIPA,56
DENVER,56
S EL MONTE,56
MENIFEE,56
OJAI,55
EASTVALE,53
RANCHO SANTA MARGARITA,53
ALTA LOMA,53
SAN JUAN CAPISTRANO,53
W HOLLYWOOD,52
SANTA PAULA,52
WILDOMAR,50
MIAMI,49
HENDERSON,47
HIGHLAND,45
DANA POINT,44
SAINT LOUIS,43
FALLBROOK,43
RANCHO DOMINGUEZ,43
SALT LAKE CITY,43
SANTA CLARA,42
PHILADELPHIA,42
MINNEAPOLIS,40
INDIO,39
ARLINGTON,39
ROSEVILLE,38
LA QUINTA,38
MIRA LOMA,38
RANCHO CASCADES,38
SAN ANTONIO,37
HAYWARD,37
CHARLOTTE,37
WEST LOS ANGELES,37
PORT HUENEME,37
DESERT HOT SPRINGS,36
