Code,Sector_Title,Number_of_US_Entities
1111,Oilseed and Grain Farming,"58,944"
1112,Vegetable and Melon Farming,"4,605"
1113,Fruit and Tree Nut Farming,"10,228"
1114,"Greenhouse, Nursery, and Floriculture Production","12,281"
1119,Other Crop Farming,"141,054"
1121,Cattle Ranching and Farming,"45,330"
1122,Hog and Pig Farming,"4,074"
1123,Poultry and Egg Production,"3,553"
1124,Sheep and Goat Farming,"1,267"
1125,Aquaculture,"1,818"
1129,Other Animal Production,"35,888"
1131,Timber Tract Operations,"1,956"
1132,Forest Nurseries and Gathering of Forest Products,921
1133,Logging,"8,164"
1141,Fishing,"1,247"
1142,Hunting and Trapping,"1,273"
1151,Support Activities for Crop Production,"12,498"
1152,Support Activities for Animal Production,"17,761"
1153,Support Activities for Forestry,"5,097"
2111,Oil and Gas Extraction,"5,451"
2121,Coal Mining,707
2122,Metal Ore Mining,788
2123,Nonmetallic Mineral Mining and Quarrying,"5,211"
2131,Support Activities for Mining,"21,182"
2211,"Electric Power Generation, Transmission and Distribution","29,265"
2212,Natural Gas Distribution,"3,812"
2213,"Water, Sewage and Other Systems","19,193"
2361,Residential Building Construction,"502,586"
2362,Nonresidential Building Construction,"64,432"
2371,Utility System Construction,"26,309"
2372,Land Subdivision,"43,704"
2373,"Highway, Street, and Bridge Construction","28,817"
2379,Other Heavy and Civil Engineering Construction,"7,722"
2381,"Foundation, Structure, and Building Exterior Contractors","171,099"
2382,Building Equipment Contractors,"314,316"
2383,Building Finishing Contractors,"171,325"
2389,Other Specialty Trade Contractors,"182,453"
3111,Animal Food Manufacturing,"2,537"
3112,Grain and Oilseed Milling,"2,520"
3113,Sugar and Confectionery Product Manufacturing,"2,635"
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,"4,384"
3115,Dairy Product Manufacturing,"4,978"
3116,Animal Slaughtering and Processing,"4,695"
3117,Seafood Product Preparation and Packaging,"1,004"
3118,Bakeries and Tortilla Manufacturing,"7,932"
3119,Other Food Manufacturing,"12,195"
3121,Beverage Manufacturing,"19,371"
3122,Tobacco Manufacturing,479
3131,"Fiber, Yarn, and Thread Mills",836
3132,Fabric Mills,"5,617"
3133,Textile and Fabric Finishing and Fabric Coating Mills,"1,488"
3141,Textile Furnishings Mills,"2,637"
3149,Other Textile Product Mills,"12,843"
3151,Apparel Knitting Mills,"1,504"
3152,Cut and Sew Apparel Manufacturing,"9,539"
3159,Apparel Accessories and Other Apparel Manufacturing,"4,043"
3161,Leather and Hide Tanning and Finishing,691
3162,Footwear Manufacturing,737
3169,Other Leather and Allied Product Manufacturing,"4,003"
3211,Sawmills and Wood Preservation,"3,160"
3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing","1,614"
3219,Other Wood Product Manufacturing,"26,796"
3221,"Pulp, Paper, and Paperboard Mills","3,183"
3222,Converted Paper Product Manufacturing,"6,303"
3231,Printing and Related Support Activities,"54,244"
3241,Petroleum and Coal Products Manufacturing,"4,257"
3251,Basic Chemical Manufacturing,"8,618"
3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing","3,764"
3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing","2,247"
3254,Pharmaceutical and Medicine Manufacturing,"14,915"
3255,"Paint, Coating, and Adhesive Manufacturing","3,752"
3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing","10,405"
3259,Other Chemical Product and Preparation Manufacturing,"4,884"
3261,Plastics Product Manufacturing,"14,792"
3262,Rubber Product Manufacturing,"3,180"
3271,Clay Product and Refractory Manufacturing,"2,302"
3272,Glass and Glass Product Manufacturing,"3,720"
3273,Cement and Concrete Product Manufacturing,"12,281"
3274,Lime and Gypsum Product Manufacturing,"1,151"
3279,Other Nonmetallic Mineral Product Manufacturing,"3,715"
3311,Iron and Steel Mills and Ferroalloy Manufacturing,"2,602"
3312,Steel Product Manufacturing from Purchased Steel,"1,573"
3313,Alumina and Aluminum Production and Processing,"1,274"
3314,Nonferrous Metal (except Aluminum) Production and Processing,"1,542"
3315,Foundries,"2,589"
3321,Forging and Stamping,"3,996"
3322,Cutlery and Handtool Manufacturing,"2,849"
3323,Architectural and Structural Metals Manufacturing,"22,669"
3324,"Boiler, Tank, and Shipping Container Manufacturing","2,307"
3325,Hardware Manufacturing,"1,761"
3326,Spring and Wire Product Manufacturing,"2,236"
3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing","23,615"
3328,"Coating, Engraving, Heat Treating, and Allied Activities","8,536"
3329,Other Fabricated Metal Product Manufacturing,"9,540"
3331,"Agriculture, Construction, and Mining Machinery Manufacturing","9,801"
3332,Industrial Machinery Manufacturing,"6,728"
3333,Commercial and Service Industry Machinery Manufacturing,"8,244"
3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing","4,568"
3335,Metalworking Machinery Manufacturing,"9,777"
3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing","2,260"
3339,Other General Purpose Machinery Manufacturing,"17,912"
3341,Computer and Peripheral Equipment Manufacturing,"5,869"
3342,Communications Equipment Manufacturing,"5,771"
3343,Audio and Video Equipment Manufacturing,"2,100"
3344,Semiconductor and Other Electronic Component Manufacturing,"10,238"
3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","18,420"
3346,Manufacturing and Reproducing Magnetic and Optical Media,"2,210"
3351,Electric Lighting Equipment Manufacturing,"3,685"
3352,Household Appliance Manufacturing,"1,799"
3353,Electrical Equipment Manufacturing,"5,011"
3359,Other Electrical Equipment and Component Manufacturing,"6,990"
3361,Motor Vehicle Manufacturing,"2,166"
3362,Motor Vehicle Body and Trailer Manufacturing,"2,876"
3363,Motor Vehicle Parts Manufacturing,"9,880"
3364,Aerospace Product and Parts Manufacturing,"7,704"
3365,Railroad Rolling Stock Manufacturing,919
3366,Ship and Boat Building,"4,139"
3369,Other Transportation Equipment Manufacturing,"3,174"
3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,"23,339"
3372,Office Furniture (including Fixtures) Manufacturing,"3,379"
3379,Other Furniture Related Product Manufacturing,"1,913"
3391,Medical Equipment and Supplies Manufacturing,"20,485"
3399,Other Miscellaneous Manufacturing,"76,243"
4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,"34,985"
4232,Furniture and Home Furnishing Merchant Wholesalers,"21,008"
4233,Lumber and Other Construction Materials Merchant Wholesalers,"37,885"
4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,"63,510"
4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,"14,003"
