Code,Sector_Title,Number_of_US_Entities
111110,Soybean Farming,"4,585"
111120,Oilseed (except Soybean) Farming,216
111130,Dry Pea and Bean Farming,"3,408"
111140,Wheat Farming,"7,190"
111150,Corn Farming,"27,471"
111160,Rice Farming,944
111191,Oilseed and Grain Combination Farming,0
111199,All Other Grain Farming,"15,130"
111211,Potato Farming,600
111219,Other Vegetable (except Potato) and Melon Farming,"4,005"
111310,Orange Groves,210
111320,Citrus (except Orange) Groves,608
111331,Apple Orchards,"2,298"
111332,Grape Vineyards,"2,033"
111333,Strawberry Farming,284
111334,Berry (except Strawberry) Farming,"1,057"
111335,Tree Nut Farming,"1,410"
111336,Fruit and Tree Nut Combination Farming,246
111339,Other Noncitrus Fruit Farming,"2,082"
111411,Mushroom Production,415
111419,Other Food Crops Grown Under Cover,814
111421,Nursery and Tree Production,"5,534"
111422,Floriculture Production,"5,518"
111910,Tobacco Farming,"1,818"
111920,Cotton Farming,"3,026"
111930,Sugarcane Farming,160
111940,Hay Farming,"2,773"
111991,Sugar Beet Farming,457
111992,Peanut Farming,345
111998,All Other Miscellaneous Crop Farming,"132,475"
112111,Beef Cattle Ranching and Farming,"16,026"
112112,Cattle Feedlots,"9,761"
112120,Dairy Cattle and Milk Production,"19,543"
112130,Dual-Purpose Cattle Ranching and Farming,0
112210,Hog and Pig Farming,"4,074"
112310,Chicken Egg Production,571
112320,Broilers and Other Meat Type Chicken Production,904
112330,Turkey Production,576
112340,Poultry Hatcheries,561
112390,Other Poultry Production,941
112410,Sheep Farming,816
112420,Goat Farming,451
112511,Finfish Farming and Fish Hatcheries,"1,362"
112512,Shellfish Farming,90
112519,Other Aquaculture,366
112910,Apiculture,"1,529"
112920,Horses and Other Equine Production,"3,469"
112930,Fur-Bearing Animal and Rabbit Production,359
112990,All Other Animal Production,"30,531"
113110,Timber Tract Operations,"1,956"
113210,Forest Nurseries and Gathering of Forest Products,921
113310,Logging,"8,164"
114111,Finfish Fishing,613
114112,Shellfish Fishing,451
114119,Other Marine Fishing,183
114210,Hunting and Trapping,"1,273"
115111,Cotton Ginning,594
115112,"Soil Preparation, Planting, and Cultivating","4,136"
115113,"Crop Harvesting, Primarily by Machine","1,805"
115114,Postharvest Crop Activities (except Cotton Ginning),"2,084"
115115,Farm Labor Contractors and Crew Leaders,727
115116,Farm Management Services,"3,152"
115210,Support Activities for Animal Production,"17,761"
115310,Support Activities for Forestry,"5,097"
211120,Crude Petroleum Extraction,"5,021"
211130,Natural Gas Extraction,430
212114,Surface Coal Mining,592
212115,Underground Coal Mining,115
212210,Iron Ore Mining,91
212220,Gold Ore and Silver Ore Mining,425
212230,"Copper, Nickel, Lead, and Zinc Mining",161
212290,Other Metal Ore Mining,111
212311,Dimension Stone Mining and Quarrying,423
212312,Crushed and Broken Limestone Mining and Quarrying,"1,080"
212313,Crushed and Broken Granite Mining and Quarrying,145
212319,Other Crushed and Broken Stone Mining and Quarrying,372
212321,Construction Sand and Gravel Mining,"2,401"
212322,Industrial Sand Mining,215
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",156
212390,Other Nonmetallic Mineral Mining and Quarrying,419
213111,Drilling Oil and Gas Wells,"2,132"
213112,Support Activities for Oil and Gas Operations,"17,929"
213113,Support Activities for Coal Mining,509
213114,Support Activities for Metal Mining,413
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,199
221111,Hydroelectric Power Generation,98
221112,Fossil Fuel Electric Power Generation,151
221113,Nuclear Electric Power Generation,40
221114,Solar Electric Power Generation,"1,236"
221115,Wind Electric Power Generation,293
221116,Geothermal Electric Power Generation,100
221117,Biomass Electric Power Generation,137
221118,Other Electric Power Generation,"22,324"
221121,Electric Bulk Power Transmission and Control,285
221122,Electric Power Distribution,"4,601"
221210,Natural Gas Distribution,"3,812"
221310,Water Supply and Irrigation Systems,"16,843"
221320,Sewage Treatment Facilities,"2,059"
221330,Steam and Air-Conditioning Supply,291
236115,New Single-Family Housing Construction (except For-Sale Builders),"352,898"
236116,New Multifamily Housing Construction (except For-Sale Builders),"30,754"
236117,New Housing For-Sale Builders,"6,549"
236118,Residential Remodelers,"112,385"
236210,Industrial Building Construction,"7,544"
236220,Commercial and Institutional Building Construction,"56,888"
237110,Water and Sewer Line and Related Structures Construction,"17,903"
237120,Oil and Gas Pipeline and Related Structures Construction,"5,556"
237130,Power and Communication Line and Related Structures Construction,"2,850"
237210,Land Subdivision,"43,704"
237310,"Highway, Street, and Bridge Construction","28,817"
237990,Other Heavy and Civil Engineering Construction,"7,722"
238110,Poured Concrete Foundation and Structure Contractors,"37,275"
238120,Structural Steel and Precast Concrete Contractors,"2,607"
238130,Framing Contractors,"44,087"
238140,Masonry Contractors,"22,115"
238150,Glass and Glazing Contractors,"8,258"
238160,Roofing Contractors,"50,396"
238170,Siding Contractors,"4,152"
238190,"Other Foundation, Structure, and Building Exterior Contractors","2,209"
238210,Electrical Contractors and Other Wiring Installation Contractors,"115,408"
238220,"Plumbing, Heating, and Air-Conditioning Contractors","196,219"
238290,Other Building Equipment Contractors,"2,689"
238310,Drywall and Insulation Contractors,"28,919"
238320,Painting and Wall Covering Contractors,"86,817"
238330,Flooring Contractors,"12,346"
238340,Tile and Terrazzo Contractors,"21,184"
238350,Finish Carpentry Contractors,"11,418"
238390,Other Building Finishing Contractors,"10,641"
238910,Site Preparation Contractors,"39,518"
238990,All Other Specialty Trade Contractors,"142,935"
311111,Dog and Cat Food Manufacturing,634
311119,Other Animal Food Manufacturing,"1,903"
311211,Flour Milling,809
311212,Rice Milling,159
311213,Malt Manufacturing,71
311221,Wet Corn Milling and Starch Manufacturing,205
311224,Soybean and Other Oilseed Processing,146
311225,Fats and Oils Refining and Blending,735
311230,Breakfast Cereal Manufacturing,395
311313,Beet Sugar Manufacturing,79
311314,Cane Sugar Manufacturing,136
311340,Nonchocolate Confectionery Manufacturing,"1,461"
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,657
311352,Confectionery Manufacturing from Purchased Chocolate,302
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",585
311412,Frozen Specialty Food Manufacturing,677
311421,Fruit and Vegetable Canning,"2,010"
311422,Specialty Canning,679
311423,Dried and Dehydrated Food Manufacturing,433
311511,Fluid Milk Manufacturing,695
311512,Creamery Butter Manufacturing,177
311513,Cheese Manufacturing,744
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing","1,648"
311520,Ice Cream and Frozen Dessert Manufacturing,"1,714"
311611,Animal (except Poultry) Slaughtering,"1,991"
311612,Meat Processed from Carcasses,"1,428"
311613,Rendering and Meat Byproduct Processing,354
311615,Poultry Processing,922
311710,Seafood Product Preparation and Packaging,"1,004"
311811,Retail Bakeries,0
311812,Commercial Bakeries,"5,635"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",277
311821,Cookie and Cracker Manufacturing,829
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",569
311830,Tortilla Manufacturing,622
311911,Roasted Nuts and Peanut Butter Manufacturing,274
311919,Other Snack Food Manufacturing,803
311920,Coffee and Tea Manufacturing,"1,628"
311930,Flavoring Syrup and Concentrate Manufacturing,373
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",665
311942,Spice and Extract Manufacturing,"1,608"
311991,Perishable Prepared Food Manufacturing,484
311999,All Other Miscellaneous Food Manufacturing,"6,360"
312111,Soft Drink Manufacturing,"3,435"
312112,Bottled Water Manufacturing,490
312113,Ice Manufacturing,634
312120,Breweries,"2,326"
312130,Wineries,"10,184"
312140,Distilleries,"2,302"
312230,Tobacco Manufacturing,479
313110,"Fiber, Yarn, and Thread Mills",836
313210,Broadwoven Fabric Mills,"4,703"
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,472
313230,Nonwoven Fabric Mills,234
313240,Knit Fabric Mills,208
313310,Textile and Fabric Finishing Mills,"1,124"
313320,Fabric Coating Mills,364
314110,Carpet and Rug Mills,"1,092"
314120,Curtain and Linen Mills,"1,545"
314910,Textile Bag and Canvas Mills,"2,083"
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",348
314999,All Other Miscellaneous Textile Product Mills,"10,412"
315120,Apparel Knitting Mills,"1,504"
315210,Cut and Sew Apparel Contractors,0
315250,Cut and Sew Apparel Manufacturing (except Contractors),"9,539"
315990,Apparel Accessories and Other Apparel Manufacturing,"4,043"
316110,Leather and Hide Tanning and Finishing,691
316210,Footwear Manufacturing,737
316990,Other Leather and Allied Product Manufacturing,"4,003"
321113,Sawmills,"2,521"
321114,Wood Preservation,639
321211,Hardwood Veneer and Plywood Manufacturing,295
321212,Softwood Veneer and Plywood Manufacturing,85
321215,Engineered Wood Member Manufacturing,934
321219,Reconstituted Wood Product Manufacturing,300
321911,Wood Window and Door Manufacturing,"1,223"
321912,"Cut Stock, Resawing Lumber, and Planing","1,261"
321918,Other Millwork (including Flooring),"14,491"
321920,Wood Container and Pallet Manufacturing,"3,670"
321991,Manufactured Home (Mobile Home) Manufacturing,530
321992,Prefabricated Wood Building Manufacturing,"1,155"
321999,All Other Miscellaneous Wood Product Manufacturing,"4,466"
322110,Pulp Mills,353
322120,Paper Mills,"2,145"
322130,Paperboard Mills,685
322211,Corrugated and Solid Fiber Box Manufacturing,"1,857"
322212,Folding Paperboard Box Manufacturing,160
322219,Other Paperboard Container Manufacturing,685
322220,Paper Bag and Coated and Treated Paper Manufacturing,"1,562"
322230,Stationery Product Manufacturing,449
322291,Sanitary Paper Product Manufacturing,474
322299,All Other Converted Paper Product Manufacturing,"1,116"
323111,Commercial Printing (except Screen and Books),"43,192"
323113,Commercial Screen Printing,"9,108"
323117,Books Printing,340
323120,Support Activities for Printing,"1,604"
324110,Petroleum Refineries,"1,681"
324121,Asphalt Paving Mixture and Block Manufacturing,"1,259"
324122,Asphalt Shingle and Coating Materials Manufacturing,586
324191,Petroleum Lubricating Oil and Grease Manufacturing,584
324199,All Other Petroleum and Coal Products Manufacturing,147
325110,Petrochemical Manufacturing,"1,381"
325120,Industrial Gas Manufacturing,"1,333"
325130,Synthetic Dye and Pigment Manufacturing,281
325180,Other Basic Inorganic Chemical Manufacturing,"3,268"
325193,Ethyl Alcohol Manufacturing,252
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",206
325199,All Other Basic Organic Chemical Manufacturing,"1,897"
325211,Plastics Material and Resin Manufacturing,"3,270"
325212,Synthetic Rubber Manufacturing,265
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,229
325311,Nitrogenous Fertilizer Manufacturing,467
325312,Phosphatic Fertilizer Manufacturing,113
325314,Fertilizer (Mixing Only) Manufacturing,312
325315,Compost Manufacturing,324
325320,Pesticide and Other Agricultural Chemical Manufacturing,"1,031"
325411,Medicinal and Botanical Manufacturing,"1,589"
325412,Pharmaceutical Preparation Manufacturing,"11,320"
325413,In-Vitro Diagnostic Substance Manufacturing,178
325414,Biological Product (except Diagnostic) Manufacturing,"1,828"
325510,Paint and Coating Manufacturing,"2,576"
325520,Adhesive Manufacturing,"1,176"
325611,Soap and Other Detergent Manufacturing,"1,567"
325612,Polish and Other Sanitation Good Manufacturing,"2,387"
325613,Surface Active Agent Manufacturing,168
325620,Toilet Preparation Manufacturing,"6,283"
325910,Printing Ink Manufacturing,640
325920,Explosives Manufacturing,235
325991,Custom Compounding of Purchased Resins,148
325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing",361
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,"3,500"
326111,Plastics Bag and Pouch Manufacturing,340
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,201
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,794
326121,Unlaminated Plastics Profile Shape Manufacturing,164
326122,Plastics Pipe and Pipe Fitting Manufacturing,405
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",359
326140,Polystyrene Foam Product Manufacturing,70
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,"1,244"
326160,Plastics Bottle Manufacturing,262
326191,Plastics Plumbing Fixture Manufacturing,303
326199,All Other Plastics Product Manufacturing,"10,650"
326211,Tire Manufacturing (except Retreading),492
326212,Tire Retreading,107
326220,Rubber and Plastics Hoses and Belting Manufacturing,355
326291,Rubber Product Manufacturing for Mechanical Use,252
326299,All Other Rubber Product Manufacturing,"1,974"
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing","1,243"
327120,Clay Building Material and Refractories Manufacturing,"1,059"
327211,Flat Glass Manufacturing,619
327212,Other Pressed and Blown Glass and Glassware Manufacturing,"1,202"
327213,Glass Container Manufacturing,281
327215,Glass Product Manufacturing Made of Purchased Glass,"1,618"
327310,Cement Manufacturing,500
327320,Ready-Mix Concrete Manufacturing,"6,863"
327331,Concrete Block and Brick Manufacturing,795
327332,Concrete Pipe Manufacturing,156
327390,Other Concrete Product Manufacturing,"3,967"
327410,Lime Manufacturing,203
327420,Gypsum Product Manufacturing,948
327910,Abrasive Product Manufacturing,628
327991,Cut Stone and Stone Product Manufacturing,"1,958"
327992,Ground or Treated Mineral and Earth Manufacturing,452
327993,Mineral Wool Manufacturing,266
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,411
331110,Iron and Steel Mills and Ferroalloy Manufacturing,"2,602"
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,622
331221,Rolled Steel Shape Manufacturing,511
331222,Steel Wire Drawing,440
331313,Alumina Refining and Primary Aluminum Production,238
331314,Secondary Smelting and Alloying of Aluminum,68
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",292
331318,"Other Aluminum Rolling, Drawing, and Extruding",676
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,465
331420,"Copper Rolling, Drawing, Extruding, and Alloying",174
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",627
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",276
331511,Iron Foundries,465
331512,Steel Investment Foundries,219
331513,Steel Foundries (except Investment),274
331523,Nonferrous Metal Die-Casting Foundries,419
331524,Aluminum Foundries (except Die-Casting),450
331529,Other Nonferrous Metal Foundries (except Die-Casting),762
332111,Iron and Steel Forging,"1,019"
332112,Nonferrous Forging,114
332114,Custom Roll Forming,35
332117,Powder Metallurgy Part Manufacturing,54
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)","2,774"
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing","1,193"
332216,Saw Blade and Handtool Manufacturing,"1,656"
332311,Prefabricated Metal Building and Component Manufacturing,"2,003"
332312,Fabricated Structural Metal Manufacturing,"9,184"
332313,Plate Work Manufacturing,"1,373"
332321,Metal Window and Door Manufacturing,"1,737"
332322,Sheet Metal Work Manufacturing,"5,812"
332323,Ornamental and Architectural Metal Work Manufacturing,"2,560"
332410,Power Boiler and Heat Exchanger Manufacturing,382
332420,Metal Tank (Heavy Gauge) Manufacturing,"1,119"
332431,Metal Can Manufacturing,492
332439,Other Metal Container Manufacturing,314
332510,Hardware Manufacturing,"1,761"
332613,Spring Manufacturing,473
332618,Other Fabricated Wire Product Manufacturing,"1,763"
332710,Machine Shops,"21,874"
332721,Precision Turned Product Manufacturing,882
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",859
332811,Metal Heat Treating,792
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers","4,702"
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring","3,042"
332911,Industrial Valve Manufacturing,903
332912,Fluid Power Valve and Hose Fitting Manufacturing,443
332913,Plumbing Fixture Fitting and Trim Manufacturing,445
332919,Other Metal Valve and Pipe Fitting Manufacturing,710
332991,Ball and Roller Bearing Manufacturing,322
332992,Small Arms Ammunition Manufacturing,455
332993,Ammunition (except Small Arms) Manufacturing,142
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing","1,515"
332996,Fabricated Pipe and Pipe Fitting Manufacturing,878
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,"3,727"
333111,Farm Machinery and Equipment Manufacturing,"3,148"
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,615
333120,Construction Machinery Manufacturing,"3,875"
333131,Mining Machinery and Equipment Manufacturing,599
333132,Oil and Gas Field Machinery and Equipment Manufacturing,"1,564"
333241,Food Product Machinery Manufacturing,"1,447"
333242,Semiconductor Machinery Manufacturing,262
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing","1,060"
333248,All Other Industrial Machinery Manufacturing,"3,959"
333310,Commercial and Service Industry Machinery Manufacturing,"8,244"
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,"1,143"
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,717
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,"2,708"
333511,Industrial Mold Manufacturing,908
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing","3,446"
333515,Cutting Tool and Machine Tool Accessory Manufacturing,"1,746"
333517,Machine Tool Manufacturing,"2,863"
333519,Rolling Mill and Other Metalworking Machinery Manufacturing,814
333611,Turbine and Turbine Generator Set Units Manufacturing,691
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",285
333613,Mechanical Power Transmission Equipment Manufacturing,458
333618,Other Engine Equipment Manufacturing,826
333912,Air and Gas Compressor Manufacturing,726
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","1,373"
333921,Elevator and Moving Stairway Manufacturing,336
333922,Conveyor and Conveying Equipment Manufacturing,"1,167"
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",738
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing","5,741"
333991,Power-Driven Handtool Manufacturing,415
333992,Welding and Soldering Equipment Manufacturing,511
333993,Packaging Machinery Manufacturing,912
333994,Industrial Process Furnace and Oven Manufacturing,550
333995,Fluid Power Cylinder and Actuator Manufacturing,190
333996,Fluid Power Pump and Motor Manufacturing,298
333998,All Other Miscellaneous General Purpose Machinery Manufacturing,"4,955"
334111,Electronic Computer Manufacturing,"2,042"
334112,Computer Storage Device Manufacturing,"1,006"
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,"2,821"
334210,Telephone Apparatus Manufacturing,"1,072"
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"3,374"
334290,Other Communications Equipment Manufacturing,"1,325"
334310,Audio and Video Equipment Manufacturing,"2,100"
334412,Bare Printed Circuit Board Manufacturing,248
334413,Semiconductor and Related Device Manufacturing,"4,452"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",640
334417,Electronic Connector Manufacturing,454
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,"1,481"
334419,Other Electronic Component Manufacturing,"2,963"
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,"2,321"
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing","3,968"
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use","1,168"
