City,Zip_Code
Acton,93510
Agoura Hills,91301
Agoura Hills(PO Boxes),91376
Agua Dulce,91390
Alhambra,91801
Alhambra,91803
Alhambra(Non-Geographic Zip Code Within 91801),91804
Alhambra(PO Boxes),91802
Alhambra(PO Boxes),91896
Alhambra(PO Boxes),91899
Altadena,91001
Altadena(PO Boxes),91003
Americana at Brand & Glendale Galleria (Glendale),91210
Arcadia,91006
Arcadia,91007
Arcadia(PO Boxes),91066
Arcadia(PO Boxes),91077
Arleta (Los Angeles),91331
Arlington Heights (Los Angeles),90019
Artesia,90701
Artesia(PO Boxes),90702
Athens,90044
Atwater Village (Los Angeles),90039
Avalon(PO Boxes),90704
Avocado Heights,91746
Azusa,91010
Azusa,91702
Baldwin Hills (Los Angeles),90008
Baldwin Park,91706
Bassett,91746
Bel Air Estates (Los Angeles),90049
"Bel Air Estates, Beverly Glen (Los Angeles)",90077
Bell,90201
Bell,90270
Bell(PO Boxes),90202
Bell(Shared Firms),90096
Bell Canyon,91307
Bell Gardens,90201
Bell Gardens(PO Boxes),90202
Bellflower,90706
Bellflower(PO Boxes),90707
Belmont Shore (Long Beach),90803
Belmont Shore (PO Boxes) (Long Beach),90853
"Beverly Glen, Bel Air Estates (Los Angeles)",90077
Beverly Hills,90210
Beverly Hills,90211
Beverly Hills,90212
Beverly Hills(PO Boxes),90209
Beverly Hills(PO Boxes),90213
Biola University (La Mirada),90639
Bixby Knolls (Long Beach),90807
Bouquet Canyon,91350
Box Canyon,91304
Boyle Heights (Los Angeles),90033
Boyle Heights (Los Angeles),90063
Bradbury,91008
Bradbury,91010
Brentwood (Los Angeles),90049
Burbank,91501
Burbank,91502
Burbank,91505
Burbank,91506
Burbank(Burbank Studios),91522
Burbank(Glenoaks),91504
Burbank(PO Boxes),91503
Burbank(PO Boxes),91507
Burbank(PO Boxes),91508
Burbank(PO Boxes),91510
Burbank(Walt Disney Co),91521
Burbank(Walt Disney Co),91526
Burbank Studios (Burbank),91522
Burbank Studios (Burbank),91523
Bureau of the Census (Pomona),91797
Byzantine-Latino Quarter (Los Angeles),90006
Calabasas,91302
California Institute of Technology (Pasadena),91125
California Institute of Technology (Pasadena),91126
California State Univ Long Beach (Long Beach),90840
California State Univ Northridge (Los Angeles),91330
Camino College (Torrance),90506
Canoga Park (Los Angeles),91303
Canoga Park (Los Angeles),91304
Canoga Park (PO Boxes) (Los Angeles),91305
Canoga Park (PO Boxes) (Los Angeles),91308
Canoga Park (PO Boxes) (Los Angeles),91309
Canyon Country (PO Boxes) (Santa Clarita),91386
Canyon Country (Santa Clarita),91351
Canyon Country (Santa Clarita),91387
Carson,90745
Carson,90746
Carson,90810
Carson(California State Univ Dominguez Hills),90747
Carson(Lakeshore Learning),90895
Carson(PO Boxes),90749
Castaic,91310
Castaic,91384
Castaic Valley (Santa Clarita PO),91383
Catalina Island (PO Boxes),90704
Castellemare (Los Angeles),90272
Century City (Los Angeles),90067
Cerritos,90703
Charter Oak,91724
Chatsworth (Los Angeles),91311
Chatsworth (PO Boxes) (Los Angeles),91313
Cheviot Hills (Los Angeles),90064
Chinatown (Los Angeles),90012
Chinatown (PO Boxes) (Los Angeles),90030
Chinatown (PO Boxes) (Los Angeles),90086
Chinatown (PO Boxes) (Los Angeles),90087
Citibank (Los Angeles),90189
City Ranch,93551
City Terrace,90063
Claremont,91711
"Commerce, City of",90040
Commerce(PO Boxes),90091
"Commerce,East Los Angeles",90023
Compton,90220
